game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
STAR WARS: Knights of the Old Republic,2003-07-01,2018-06-01,2019-05-01,94,"Aspyr, LucasArts Entertainment","Aspyr Media, BioWare, Lucasfilm",Xbox
MotoGP 17,2017-07-01,2018-06-01,2019-05-01,73,Milestone,Milestone,Xbox
Star Wars: The Force Unleashed,2008-09-01,2018-06-01,2019-05-01,73,"THQ, LucasArts Entertainment","Aspyr Media, LucasArts Entertainment, n-Space, Krome Studios, Universomo",Xbox
Star Wars: The Force Unleashed II,2010-10-01,2018-06-01,2019-05-01,61,"Disney Interactive, LucasArts Entertainment","Aspyr Media, LucasArts Entertainment, Lucasfilm, Red Fly Studio",Xbox
Laser League,2018-05-01,2018-05-01,2019-05-01,81,505 Games,"505 Games, Roll7",Xbox
Comic Jumper,2010-10-01,2017-06-01,2019-05-01,74,Microsoft Studios,Twisted Pixel Games,Xbox
D4: Dark Dreams Don't Die,2014-09-01,2017-06-01,2019-05-01,76,"Microsoft Studios, AGM PLAYISM, Active Gaming Media",Access Games,Xbox
DmC: Devil May Cry - Definitive Edition,2013-01-01,2017-06-01,2019-05-01,86,Capcom,Ninja Theory,Xbox
JumpJet Rex,2016-04-01,2017-06-01,2019-05-01,76,"LOOT Interactive, TreeFortress Games","LOOT™ Interactive, TreeFortress Games",Xbox
Knight Squad,2015-11-01,2017-06-01,2019-05-01,71,"Chainsawesome Games, Chainsawesome",Chainsawesome Games,Xbox
Layers of Fear,2016-02-01,2017-06-01,2019-05-01,78,"Aspyr, Bloober Team","Bloober Team, Anshar Studios",Xbox
Mega Man Legacy Collection,2015-08-01,2017-06-01,2019-05-01,80,Capcom,"Capcom, Capcom U.S.A, Digital Eclipse",Xbox
Ms. Splosion Man,2011-07-01,2017-06-01,2019-05-01,83,"Microsoft Studios, Twisted Pixel","Microsoft, Twisted Pixel Games",Xbox
Shantae and the Pirate's Curse,2014-10-01,2017-06-01,2019-05-01,79,"WayForward, Wayforward Technologies",WayForward Technologies,Xbox
Super Mega Baseball: Extra Innings,2015-08-01,2017-06-01,2019-05-01,80,Metalhead Software,Metalhead Software,Xbox
Super Time Force,2014-05-01,2017-06-01,2019-05-01,80,"Microsoft Studios, Capy",Capy,Xbox
Tom Clancy's Ghost Recon Advanced Warfighter 2,2007-03-06,2019-04-01,2019-04-01,82,Ubisoft Entertainment,"Ubisoft, High Voltage Software, Red Storm, GRIN",XB360/OG Xbox
The Technomancer,2016-06-27,2019-04-01,2019-04-01,56,Focus Home Interactive,Spiders,XB1/Series X|S
Star Wars: Battlefront II,2017-11-17,2019-04-01,2019-04-01,74,Electronic Arts,Electronic Arts DICE,XB360/OG Xbox
Plants vs. Zombies: Garden Warfare 2,2016-02-23,2019-03-01,2019-04-01,81,Electronic Arts,"Electronic Arts, PopCap Games",XB1/Series X|S
OlliOlli2: XL Edition,2016-08-01,2018-11-01,2019-04-01,83,Devolver Digital,"Roll7, Roll 7",Xbox
Sheltered,2016-03-01,2018-11-01,2019-04-01,69,Team17 Digital,"Team17 Digital, Unicube",Xbox
Outlast,2013-09-01,2018-10-01,2019-04-01,80,Red Barrels,Red Barrels,Xbox
Homefront: The Revolution,2016-05-01,2018-05-01,2019-04-01,49,Deep Silver,"Deep Silver, Dambuster Studios",Xbox
Sonic & Knuckles,2017-08-01,2018-05-01,2019-04-01,69,SEGA,"SEGA, Backbone Entertainment",Xbox
Unmechanical: Extended Edition,2012-08-01,2018-05-01,2019-04-01,66,"Grip Digital sro, Teotl Studios",Talawa Games,Xbox
OlliOlli,2014-01-01,2017-06-01,2019-04-01,78,"Devolver Digital, Curve Digital, GHI Media","Devolver Digital, Carbon, Roll7, General Arcade",Xbox
Pumped BMX +,2015-09-01,2017-06-01,2019-04-01,56,Curve Digital,"Curve Digital, Carbon, Yeah Us!",Xbox
The Golf Club,2014-08-01,2017-06-01,2019-04-01,64,HB Studios,HB Studios,Xbox
The Swapper,2013-05-01,2017-06-01,2019-04-01,92,"Curve Digital, Facepalm Games","Curve Digital, Facepalm Games",Xbox
Metal Gear Rising: Revengeance,2013-02-19,2019-03-01,2019-03-01,83,Konami,Platinum Games,XB360/OG Xbox
Adventure Time: Pirates of the Enchiridion,2018-07-17,2019-03-01,2019-03-01,59,,,XB1/Series X|S
Star Wars Republic Commando,2005-03-01,2019-03-01,2019-03-01,78,"Disney Interactive, LucasArts Entertainment",LucasArts Entertainment,XB360/OG Xbox
